age,eiopa_curve
1,0.02245
2,0.02009
3,0.01961
4,0.0196
5,0.01966
6,0.0198
7,0.01999
8,0.02016
9,0.02036
10,0.02058
11,0.02075
12,0.02092
13,0.02109
14,0.02121
15,0.02123
16,0.02113
17,0.02097
18,0.0208
19,0.02066
20,0.02059
21,0.0206
22,0.02068
23,0.0208
24,0.02097
25,0.02115
26,0.02136
27,0.02158
28,0.02181
29,0.02204
30,0.02227
31,0.0225
32,0.02273
33,0.02296
34,0.02318
35,0.0234
36,0.02361
37,0.02382
38,0.02402
39,0.02422
40,0.02441
41,0.02459
42,0.02477
43,0.02494
44,0.02511
45,0.02527
46,0.02542
47,0.02557
48,0.02572
49,0.02586
50,0.02599
51,0.02612
52,0.02625
53,0.02637
54,0.02649
55,0.0266
56,0.02671
57,0.02682
58,0.02692
59,0.02703
60,0.02712
61,0.02722
62,0.02731
63,0.0274
64,0.02748
65,0.02757
66,0.02765
67,0.02773
68,0.0278
69,0.02788
70,0.02795
71,0.02802
72,0.02809
73,0.02816
74,0.02822
75,0.02829
76,0.02835
77,0.02841
78,0.02847
79,0.02852
80,0.02858
81,0.02863
82,0.02869
83,0.02874
84,0.02879
85,0.02884
86,0.02889
87,0.02893
88,0.02898
89,0.02902
90,0.02907
91,0.02911
92,0.02915
93,0.0292
94,0.02924
95,0.02928
96,0.02931
97,0.02935
98,0.02939
99,0.02943
100,0.02946
101,0.0295
102,0.02953
103,0.02956
104,0.0296
105,0.02963
106,0.02966
107,0.02969
108,0.02972
109,0.02975
110,0.02978
111,0.02981
112,0.02984
113,0.02987
114,0.02989
115,0.02992
116,0.02995
117,0.02997
118,0.03
119,0.03003
120,0.03005
121,0.03007
122,0.0301
123,0.03012
124,0.03014
125,0.03017
126,0.03019
127,0.03021
128,0.03023
129,0.03026
130,0.03028
131,0.0303
132,0.03032
133,0.03034
134,0.03036
135,0.03038
136,0.0304
137,0.03042
138,0.03043
139,0.03045
140,0.03047
141,0.03049
142,0.03051
143,0.03052
144,0.03054
145,0.03056
146,0.03057
147,0.03059
148,0.03061
149,0.03062
150,0.03064
